Variant ID,Round ID,Source Video,Source Reel URL,Source Reel Caption,Source Reel Posted,Source Video Description,Date Posted,Time Posted,Day of Week,Phase,Test Variable,Variant Category,Normalized Hook Category,Exact Hook / Variant Wording,Modality,Country,Format Type,Video Length (sec),Is Original / Live Hook,Predicted Best Performing Hook,Human Prediction Rank,Prediction Confidence,Prediction Rationale,Views 24h,3-Sec Retention % 24h,Avg Watch Time (sec) 24h,Watch % of Length 24h,Saves 24h,Shares 24h,Comments 24h,Follows from Reel 24h,Views 48h,3-Sec Retention % 48h,Avg Watch Time (sec) 48h,Watch % of Length 48h,Saves 48h,Shares 48h,Comments 48h,Follows from Reel 48h,Decision Score 48h,Views 7d,3-Sec Retention % 7d,Avg Watch Time (sec) 7d,Watch % of Length 7d,Saves 7d,Shares 7d,Comments 7d,Follows from Reel 7d,Promoted to Feed (Y/N),Date Promoted,Winner of Round (Y/N),Prediction Correct (Round),Notes / Anomalies
R1V1,R1,Cambodia Floating Village (Stranded),,,,Storytime teaser about two students being stranded after the last boat leaves a Cambodian floating village.,5/19/2026,11:00 a.m.,Tuesday,Phase 1 — Hook,Hook Type,Credential,Credential,Two Harvard students stranded on a floating village in Cambodia,Text overlay only,Cambodia,Storytime / Teaser,17,Y,Y,1,High,The credential + consequence is immediately legible and matches the story footage.,128,66.1,6,35.29411765,0,0,0,0,129,65.6,6,35.29411765,0,0,0,0,58.0,889,57.3,8,47.05882353,0,26,8,2,Y,5/21/2026,Y,Y,
R1V2,R1,Cambodia Floating Village (Stranded),,,,Storytime teaser about two students being stranded after the last boat leaves a Cambodian floating village.,5/19/2026,11:00 a.m.,Tuesday,Phase 1 — Hook,Hook Type,Numbered (rhetorical),Numbered / Specific,Day 1 of being stranded in Cambodia's floating village 😭,Text overlay only,Cambodia,Storytime / Teaser,17,N,N,2,High,,113,38.4,4,23.52941176,0,0,0,0,113,38.4,4,23.52941176,0,0,0,0,34.7,115,38,4,23.52941176,0,0,0,0,N,,N,Y,
R1V3,R1,Cambodia Floating Village (Stranded),,,,Storytime teaser about two students being stranded after the last boat leaves a Cambodian floating village.,5/19/2026,11:00 a.m.,Tuesday,Phase 1 — Hook,Hook Type,POV / Direct-address,POV / Direct-address,POV: last boat in Cambodia left with half our group,Text overlay only,Cambodia,Storytime / Teaser,17,N,N,3,High,,107,34.4,4,23.52941176,0,0,0,0,117,36.4,5,29.41176471,0,0,0,0,34.7,117,36.4,5,29.41176471,0,0,0,0,N,,N,Y,
R1V4,R1,Cambodia Floating Village (Stranded),,,,Storytime teaser about two students being stranded after the last boat leaves a Cambodian floating village.,5/19/2026,11:00 a.m.,Tuesday,Phase 1 — Hook,Hook Type,Contrarian,Contrarian / Pattern-break,Everyone shows you the beauties of traveling… but what about when you miss the last boat,Text overlay only,Cambodia,Storytime / Teaser,17,N,N,4,High,,104,33.3,3,17.64705882,0,0,0,0,104,33.3,3,17.64705882,0,0,0,0,29.4,105,33,3,17.64705882,0,0,0,0,N,,N,Y,
R1V5,R1,Cambodia Floating Village (Stranded),,,,Storytime teaser about two students being stranded after the last boat leaves a Cambodian floating village.,5/19/2026,11:00 a.m.,Tuesday,Phase 1 — Hook,Hook Type,Cold Open,Cold Open / Visual-only,"[No first text card; existing sequence begins on clip 2 with ""The last boat leaving without us... 😭"" for context]",Text overlay only (hook layer removed),Cambodia,Storytime / Teaser,17,N,N,5,High,,37,11.8,2,11.76470588,0,0,0,0,81,11.8,2,11.76470588,0,0,0,0,11.8,81,11.8,2,11.76470588,0,0,0,0,N,,N,Y,
R2V1,R2,Cambodia Floating Village (Stranded),,,,Longer retelling of the Cambodia floating-village stranding story with voiceover and hook overlays.,6/4/2026,11:00 a.m.,Wednesday,Phase 1 — Hook,Hook Type,Cold Open,Cold Open / Visual-only,[No first text card; existing sequence begins on clip 2],Text overlay and audio (Chanho voice story),Cambodia,Storytime,28,Y,N,5,Medium,,56,10.6,2,7.142857143,0,0,0,0,116,12,2,7.142857143,0,0,0,0,10.8,116,12,2,7.142857143,0,0,0,0,N,,N,N,
R2V2,R2,Cambodia Floating Village (Stranded),,,,Longer retelling of the Cambodia floating-village stranding story with voiceover and hook overlays.,6/4/2026,11:00 a.m.,Wednesday,Phase 1 — Hook,Hook Type,Credential,Credential,Harvard students almost stranded in Cambodia (storytime),"Text overlay and audio (AI voice hook, Chanho voicee story)",Cambodia,Storytime,28,N,N,3,Medium,,137,41.4,6,21.42857143,0,0,0,0,138,41.1,6,21.42857143,0,0,0,1,36.2,138,41.1,6,21.42857143,0,0,0,1,N,,N,N,
R2V3,R2,Cambodia Floating Village (Stranded),,,,Longer retelling of the Cambodia floating-village stranding story with voiceover and hook overlays.,6/4/2026,11:00 a.m.,Wednesday,Phase 1 — Hook,Hook Type,Numbered (rhetorical),Numbered / Specific,How two of us almost got stranded in a Cambodian stilt village,"Text overlay and audio (AI voice hook, Chanho voicee story)",Cambodia,Storytime,28,N,N,2,Medium,,126,49.5,5,17.85714286,0,0,0,0,126,49.5,5,17.85714286,0,0,0,0,41.6,126,49.5,5,17.85714286,0,0,0,0,N,,Y,N,
R2V4,R2,Cambodia Floating Village (Stranded),,,,Longer retelling of the Cambodia floating-village stranding story with voiceover and hook overlays.,6/4/2026,11:00 a.m.,Wednesday,Phase 1 — Hook,Hook Type,POV / Direct-address,POV / Direct-address,POV: your friends accidentally leave you stranded in a Cambodian stilt village with no phone,"Text overlay and audio (AI voice hook, Chanho voicee story)",Cambodia,Storytime,28,N,Y,1,Medium,"The POV treatment felt most likely to personalize the story, but the more specific setup ultimately held better.",116,43.6,4,14.28571429,0,0,0,0,116,43.6,4,14.28571429,0,0,0,1,36.3,116,43.6,4,14.28571429,0,0,0,1,N,,N,N,
R2V5,R2,Cambodia Floating Village (Stranded),,,,Longer retelling of the Cambodia floating-village stranding story with voiceover and hook overlays.,6/4/2026,11:00 a.m.,Wednesday,Phase 1 — Hook,Hook Type,Contrarian,Contrarian / Pattern-break,The sunset boat ride was not the scary part…,"Text overlay and audio (AI voice hook, Chanho voicee story)",Cambodia,Storytime,28,N,N,4,Medium,,113,30.6,4,14.28571429,0,0,0,0,116,28.7,3,10.71428571,0,0,0,0,24.2,116,28.7,3,10.71428571,0,0,0,0,N,,N,N,
