Round ID,Source Video,Country,Format Type,Video Length (sec),Source Reel URL,Source Reel Caption,Source Reel Posted,Original / Live Hook,Original Hook Category,Predicted Hook,Predicted Category,Prediction Confidence,Prediction Correct,Winning Hook,Winner Category,Winner 48h Retention,Winner 48h Watch Depth,Winner 48h Views,Winner 7d Views,Posted Hook Won,Date Promoted
R1,Cambodia Floating Village (Stranded),Cambodia,Storytime / Teaser,17,,,,Two Harvard students stranded on a floating village in Cambodia,Credential,Two Harvard students stranded on a floating village in Cambodia,Credential,High,Y,Two Harvard students stranded on a floating village in Cambodia,Credential,65.6,35.29411765,129,889,Y,5/21/2026
R2,Cambodia Floating Village (Stranded),Cambodia,Storytime,28,,,,[No first text card; existing sequence begins on clip 2],Cold Open / Visual-only,POV: your friends accidentally leave you stranded in a Cambodian stilt village with no phone,POV / Direct-address,Medium,N,How two of us almost got stranded in a Cambodian stilt village,Numbered / Specific,49.5,17.85714286,126,126,N,
R3,Siem Reap,Cambodia,Storytime,91,,,,This ends up being one of the best things we do in Cambodia,Contrarian / Pattern-break,Harvard students take a cooking class in Cambodia,Credential,High,Y,Harvard students take a cooking class in Cambodia,Credential,70.3,16.48351648,1345,1720,N,6/24
R4,Bangkok,Thailand,Humor / Montage,28,,,2026-07-01,Harvard student accidentally gives a time lapse Bangkok boat tour,Credential,POV: Ben gives you an MTV home tour in Bangkok but the camera is on time lapse,POV / Direct-address,High,Y,POV: Ben gives you an MTV home tour in Bangkok but the camera is on time lapse,POV / Direct-address,61.8,51.9,318,820,N,7/3/2026
R5,Bangkok Time-Lapse Boat Tour — published cut,Thailand,Humor / storytime,28,https://www.instagram.com/reel/DaQMIeNx9gC/,Ben was not responsible for filming,2026-07-01,Harvard student accidentally gives a time lapse Bangkok boat tour,Credential,Harvard student accidentally gives a time lapse Bangkok boat tour,Credential,Medium,Y,Harvard student accidentally gives a time lapse Bangkok boat tour,Credential,64.2,51.5,235,530,Y,7/3/2026
R6,Oregon Itinerary — Days 1–2,United States,Itinerary / vlog,39,https://www.instagram.com/reel/DZu7BDqh5ze/,"Oregon: Days 1-2! oregon coast, multnomah falls",2026-06-18,Oregon Itinerary (Day 1-2),Numbered / Specific,Oregon Itinerary (Day 1-2),Numbered / Specific,High,Y,Oregon Itinerary (Day 1-2),Numbered / Specific,68.1,50.8,362,980,Y,6/20/2026
R7,Bali Snorkeling Lightning Storm,Indonesia,Storytime / travel fail,27,https://www.instagram.com/reel/DZ0dIKxIRnx/,Snorkeling in bali gone wrong…,2026-06-20,when a lightning storm rolls in while snorkeling in Bali,POV / Direct-address,when a lightning storm rolls in while snorkeling in Bali,POV / Direct-address,Medium,Y,when a lightning storm rolls in while snorkeling in Bali,POV / Direct-address,66.7,48.5,307,740,Y,6/22/2026
R8,Dancing with Locals in Bangkok Park,Thailand,Humor / cultural participation,19,https://www.instagram.com/reel/DWbdT3Cifhr/,We might need some additional dance classes,2026-07-27,Dancing with the locals in Bangkok Park 🕺💃,Contrarian / Pattern-break,Dancing with the locals in Bangkok Park 🕺💃,Contrarian / Pattern-break,Medium,Y,Dancing with the locals in Bangkok Park 🕺💃,Contrarian / Pattern-break,69.1,58.7,351,910,Y,7/29/2026
R9,Harvard Football Guy Learns Muay Thai,Thailand,Sports / cultural challenge,24,,,,Harvard football guy learns muay thai,Credential,Harvard football guy learns muay thai,Credential,High,Y,Harvard football guy learns muay thai,Credential,72.0,54.9,521,1400,Y,
R10,Second Most-Climbed Mountain Hike,United States,Trivia / hiking,32,https://www.instagram.com/reel/DbmGkfMhJ2w/,Can you guess what the most hiked mountain in the world is?,2026-08-03,come hike the second most climbed mountain in the world,Numbered / Specific,come hike the second most climbed mountain in the world,Numbered / Specific,High,Y,come hike the second most climbed mountain in the world,Numbered / Specific,69.4,51.7,438,1250,Y,8/5/2026
R11,Puerto Rico Trip Talk,Puerto Rico,Social CTA / destination montage,12,https://www.instagram.com/reel/Db30rE0hd5w/,First @ owes you a trip to puerto rico,2026-08-07,I'm talking trips to puerto rico,POV / Direct-address,I'm talking trips to puerto rico,POV / Direct-address,Low,Y,I'm talking trips to puerto rico,POV / Direct-address,65.8,63.5,391,1080,Y,8/9/2026
